SalePrice_val_mse,YearRemod_val_mse,YearBuilt_val_mse,BldgType_val_ce,HouseStyle_val_ce,Overall_val_,SalePrice_train_mse,YearRemod_train_mse,YearBuilt_train_mse,BldgType_train_ce,HouseStyle_train_ce,Overall_train_,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.3572346866130829,0.5284299850463867,0.4105945825576782,1.4577995538711548,1.9962196350097656,4.750277996063232,0.43700435757637024,0.5811828970909119,0.30230477452278137,1.4716349840164185,2.002061128616333,4.794188499450684,2328.6908309459686,False,1,eb76d856,2023-06-11_05-49-48,1686476988,2328.6908309459686,77005,Konstantins-MacBook-Air.local,127.0.0.1,2328.6908309459686,1
0.264747679233551,0.4419821798801422,0.23309136927127838,1.1794018745422363,1.8405554294586182,3.959778308868408,0.19595782458782196,0.46860283613204956,0.17018748819828033,1.1764777898788452,1.828505516052246,3.839731454849243,5.488771200180054,False,2,eb76d856,2023-06-11_05-49-54,1686476994,2334.1796021461487,77005,Konstantins-MacBook-Air.local,127.0.0.1,2334.1796021461487,2
0.18967941403388977,0.38777241110801697,0.16120585799217224,1.0970450639724731,1.7576833963394165,3.593386173248291,0.11211778968572617,0.3410257399082184,0.12072037160396576,1.0725945234298706,1.7123674154281616,3.35882568359375,3.67500376701355,False,3,eb76d856,2023-06-11_05-49-58,1686476998,2337.8546059131622,77005,Konstantins-MacBook-Air.local,127.0.0.1,2337.8546059131622,3
0.18096862733364105,0.37032201886177063,0.1468811184167862,1.0865418910980225,1.7218128442764282,3.506526470184326,0.09076707810163498,0.297037273645401,0.11589322984218597,1.0595736503601074,1.6684043407440186,3.231675624847412,2.292436122894287,False,4,eb76d856,2023-06-11_05-50-00,1686477000,2340.1470420360565,77005,Konstantins-MacBook-Air.local,127.0.0.1,2340.1470420360565,4
0.16737055778503418,0.3639456033706665,0.13362978398799896,1.0844990015029907,1.6624799966812134,3.4119246006011963,0.06299202889204025,0.27842772006988525,0.09258569777011871,1.0571616888046265,1.6121554374694824,3.1033225059509277,1.0158519744873047,False,5,eb76d856,2023-06-11_05-50-01,1686477001,2341.162894010544,77005,Konstantins-MacBook-Air.local,127.0.0.1,2341.162894010544,5
0.16406571865081787,0.3631429970264435,0.12775498628616333,1.0838721990585327,1.6140002012252808,3.3528358936309814,0.05536649376153946,0.24914801120758057,0.07701267302036285,1.0564631223678589,1.5655900239944458,3.003580331802368,0.84906005859375,False,6,eb76d856,2023-06-11_05-50-02,1686477002,2342.0119540691376,77005,Konstantins-MacBook-Air.local,127.0.0.1,2342.0119540691376,6
0.16254767775535583,0.36640486121177673,0.12284144014120102,1.0834994316101074,1.5676313638687134,3.302924394607544,0.05160786584019661,0.2386389970779419,0.07016119360923767,1.0560656785964966,1.512751817703247,2.929225444793701,0.938957929611206,False,7,eb76d856,2023-06-11_05-50-03,1686477003,2342.950911998749,77005,Konstantins-MacBook-Air.local,127.0.0.1,2342.950911998749,7
0.1605617254972458,0.3704732060432434,0.1192033439874649,1.0832759141921997,1.5322363376617432,3.2657504081726074,0.04761657863855362,0.2216573804616928,0.06297804415225983,1.0558209419250488,1.479079246520996,2.867152214050293,0.9072511196136475,False,8,eb76d856,2023-06-11_05-50-04,1686477004,2343.8581631183624,77005,Konstantins-MacBook-Air.local,127.0.0.1,2343.8581631183624,8
0.1604773998260498,0.37450170516967773,0.11655017733573914,1.083138108253479,1.5093994140625,3.2440667152404785,0.04585591331124306,0.2064710408449173,0.05797243118286133,1.0556787252426147,1.4562697410583496,2.8222479820251465,0.7972140312194824,False,9,eb76d856,2023-06-11_05-50-04,1686477004,2344.655377149582,77005,Konstantins-MacBook-Air.local,127.0.0.1,2344.655377149582,9
0.16019660234451294,0.3784641921520233,0.11436265707015991,1.0830401182174683,1.4952893257141113,3.2313528060913086,0.04262346774339676,0.19921554625034332,0.054156359285116196,1.0555737018585205,1.4425184726715088,2.7940874099731445,0.7965378761291504,False,10,eb76d856,2023-06-11_05-50-05,1686477005,2345.451915025711,77005,Konstantins-MacBook-Air.local,127.0.0.1,2345.451915025711,10
0.16031518578529358,0.38241901993751526,0.11221899092197418,1.0829708576202393,1.4864448308944702,3.2243688106536865,0.04178566485643387,0.18709538877010345,0.04997464269399643,1.055504322052002,1.4340976476669312,2.7684576511383057,1.0012409687042236,False,11,eb76d856,2023-06-11_05-50-06,1686477006,2346.4531559944153,77005,Konstantins-MacBook-Air.local,127.0.0.1,2346.4531559944153,11
0.16033242642879486,0.3865528702735901,0.11032511293888092,1.0829156637191772,1.480696678161621,3.22082257270813,0.039282284677028656,0.17720496654510498,0.04611771181225777,1.0554472208023071,1.4283065795898438,2.746358871459961,0.7666220664978027,False,12,eb76d856,2023-06-11_05-50-07,1686477007,2347.219778060913,77005,Konstantins-MacBook-Air.local,127.0.0.1,2347.219778060913,12
0.16067947447299957,0.3905654549598694,0.1086353287100792,1.0828696489334106,1.4767382144927979,3.2194881439208984,0.037241168320178986,0.1691862791776657,0.04297856241464615,1.055398941040039,1.424437403678894,2.7292423248291016,0.8039698600769043,False,13,eb76d856,2023-06-11_05-50-08,1686477008,2348.02374792099,77005,Konstantins-MacBook-Air.local,127.0.0.1,2348.02374792099,13
