Wall time,Step,Value
1684719726.614546,49,0.2459670454263687
1684719730.1983354,99,0.23996174335479736
1684719732.7446098,149,0.24521185457706451
1684719736.267078,199,0.23720893263816833
1684719739.8564079,249,0.24790461361408234
1684719742.3877406,299,0.23880334198474884
1684719745.9982433,349,0.23862914741039276
1684719748.591958,399,0.23556111752986908
1684719752.0982442,449,0.24312375485897064
1684719755.689011,499,0.23477433621883392
1684719758.3109896,549,0.24293769896030426
1684719761.8938103,599,0.23439912497997284
1684719765.4580426,649,0.2482648491859436
1684719768.0932012,699,0.2339683473110199
1684719771.706427,749,0.24034889042377472
1684719774.2043772,799,0.23601633310317993
1684719777.7138321,849,0.24110455811023712
1684719781.1959913,899,0.23212043941020966
1684719783.6952949,949,0.24049754440784454
1684719787.289404,999,0.23746351897716522
1684719790.8526528,1049,0.24385547637939453
1684719793.3987691,1099,0.23776362836360931
1684719796.9029403,1149,0.23834413290023804
1684719799.422871,1199,0.22538578510284424
1684719803.006128,1249,0.2474685162305832
1684719806.448421,1299,0.2331671267747879
1684719809.0632906,1349,0.2404322326183319
1684719812.5808542,1399,0.23564204573631287
1684719816.1107857,1449,0.24097789824008942
1684719818.571529,1499,0.2286182940006256
1684719822.0152154,1549,0.2336241900920868
1684719824.5364501,1599,0.23904316127300262
1684719828.084903,1649,0.23934441804885864
1684719831.5525906,1699,0.23178523778915405
1684719834.0459304,1749,0.23547275364398956
1684719840.4566174,1799,0.23380571603775024
1684719844.0957406,1849,0.2397761195898056
1684719846.608785,1899,0.2288704812526703
1684719850.1209838,1949,0.23815137147903442
1684719852.6896777,1999,0.22843655943870544
1684719856.1969936,2049,0.24323642253875732
1684719859.8020346,2099,0.23131440579891205
1684719862.4230878,2149,0.24072232842445374
1684719865.9990497,2199,0.23056839406490326
1684719869.5553093,2249,0.23669707775115967
1684719872.1223826,2299,0.23093800246715546
1684719875.727954,2349,0.23551777005195618
1684719878.362577,2399,0.2344144880771637
1684719881.9072962,2449,0.2377067655324936
1684719885.4294949,2499,0.22768054902553558
1684719888.030667,2549,0.23982937633991241
1684719891.5928996,2599,0.22391873598098755
1684719895.14129,2649,0.24089305102825165
1684719897.6109767,2699,0.22723567485809326
1684719901.1171587,2749,0.23542094230651855
1684719903.6404471,2799,0.2295563519001007
1684719907.2084231,2849,0.23846052587032318
1684719910.737408,2899,0.2230921983718872
1684719913.2106524,2949,0.23867525160312653
1684719916.723973,2999,0.22857031226158142
1684719920.2900705,3049,0.24126692116260529
1684719922.8493927,3099,0.22762787342071533
1684719926.4151604,3149,0.23515772819519043
1684719928.9692318,3199,0.22909314930438995
1684719932.466284,3249,0.2380790412425995
1684719936.0200572,3299,0.22564001381397247
1684719938.5749023,3349,0.23320448398590088
1684719942.1023273,3399,0.2319125086069107
1684719945.6393788,3449,0.23355573415756226
1684719948.23201,3499,0.23138059675693512
1684719951.816728,3549,0.22721734642982483
1684719954.326565,3599,0.23290161788463593
1684719957.8744485,3649,0.23158158361911774
1684719961.4249384,3699,0.22656132280826569
1684719963.9756045,3749,0.24095536768436432
1684719967.5119865,3799,0.23448945581912994
1684719971.0960178,3849,0.23572786152362823
1684719973.6367993,3899,0.2237207442522049
1684719977.204143,3949,0.2364358901977539
1684719979.740584,3999,0.23241792619228363
